Emotion,Value 
scared,50
happy,6
sad,28
surprised,0
neutral,11
angry,12
disgust,0
scared,40
happy,13
sad,25
surprised,0
neutral,9
angry,16
disgust,0
scared,22
happy,22
sad,25
surprised,0
neutral,15
angry,16
disgust,0
scared,22
happy,22
sad,25
surprised,0
neutral,15
angry,15
disgust,0
scared,13
happy,17
sad,38
surprised,0
neutral,17
angry,15
disgust,1
scared,13
happy,14
sad,38
surprised,1
neutral,18
angry,18
disgust,0
scared,25
happy,8
sad,37
surprised,0
neutral,11
angry,16
disgust,1
scared,15
happy,6
sad,47
surprised,0
neutral,16
angry,13
disgust,0
scared,19
happy,3
sad,51
surprised,0
neutral,14
angry,11
disgust,0
scared,14
happy,6
sad,55
surprised,0
neutral,14
angry,10
disgust,0
scared,18
happy,6
sad,54
surprised,1
neutral,12
angry,10
disgust,0
scared,18
happy,6
sad,54
surprised,1
neutral,12
angry,12
disgust,0
scared,10
happy,2
sad,62
surprised,0
neutral,14
angry,5
disgust,0
scared,18
happy,4
sad,54
surprised,0
neutral,19
angry,6
disgust,0
scared,17
happy,4
sad,61
surprised,0
neutral,12
angry,11
disgust,0
scared,13
happy,2
sad,68
surprised,0
neutral,5
angry,15
disgust,0
scared,14
happy,7
sad,51
surprised,0
neutral,13
angry,15
disgust,0
scared,14
happy,7
sad,51
surprised,0
neutral,13
angry,19
disgust,0
scared,15
happy,3
sad,45
surprised,0
neutral,18
angry,15
disgust,0
scared,18
happy,1
sad,47
surprised,0
neutral,18
angry,10
disgust,0
scared,17
happy,1
sad,44
surprised,0
neutral,28
angry,11
disgust,0
scared,14
happy,7
sad,28
surprised,0
neutral,39
angry,8
disgust,0
scared,14
happy,14
sad,28
surprised,0
neutral,36
angry,12
disgust,0
scared,12
happy,9
sad,25
surprised,0
neutral,42
angry,12
disgust,0
scared,12
happy,9
sad,25
surprised,0
neutral,42
angry,4
disgust,0
scared,17
happy,9
sad,32
surprised,0
neutral,39
angry,4
disgust,0
scared,17
happy,9
sad,32
surprised,0
neutral,39
angry,7
disgust,0
scared,47
happy,3
sad,25
surprised,1
neutral,17
angry,6
disgust,0
scared,46
happy,3
sad,21
surprised,1
neutral,23
angry,5
disgust,0
scared,32
happy,2
sad,24
surprised,0
neutral,36
angry,3
disgust,0
scared,62
happy,1
sad,21
surprised,0
neutral,13
angry,2
disgust,0
scared,43
happy,1
sad,38
surprised,0
neutral,16
angry,4
disgust,0
scared,55
happy,5
sad,19
surprised,1
neutral,17
angry,4
disgust,0
scared,55
happy,5
sad,19
surprised,1
neutral,17
angry,3
disgust,0
scared,52
happy,2
sad,28
surprised,0
neutral,14
angry,2
disgust,0
scared,70
happy,1
sad,17
surprised,1
neutral,10
angry,2
disgust,0
scared,70
happy,1
sad,17
surprised,1
neutral,10
angry,5
disgust,0
scared,57
happy,2
sad,20
surprised,1
neutral,15
angry,6
disgust,0
scared,62
happy,1
sad,20
surprised,1
neutral,10
angry,2
disgust,0
scared,72
happy,0
sad,17
surprised,2
neutral,7
angry,2
disgust,0
scared,72
happy,0
sad,17
surprised,2
neutral,7
angry,2
disgust,0
scared,74
happy,0
sad,18
surprised,1
neutral,6
angry,2
disgust,0
scared,72
happy,1
sad,15
surprised,1
neutral,9
angry,4
disgust,0
scared,62
happy,1
sad,21
surprised,1
neutral,11
angry,4
disgust,0
scared,60
happy,1
sad,25
surprised,1
neutral,9
angry,4
disgust,0
scared,63
happy,1
sad,23
surprised,1
neutral,8
angry,4
disgust,0
scared,63
happy,1
sad,23
surprised,1
neutral,8
angry,5
disgust,0
scared,68
happy,2
sad,16
surprised,2
neutral,8
angry,5
disgust,0
scared,58
happy,2
sad,18
surprised,1
neutral,16
angry,2
disgust,0
scared,75
happy,0
sad,16
surprised,3
neutral,4
angry,5
disgust,0
scared,61
happy,1
sad,22
surprised,1
neutral,10
angry,5
disgust,0
scared,66
happy,1
sad,22
surprised,1
neutral,6
angry,4
disgust,0
scared,58
happy,2
sad,23
surprised,1
neutral,12
angry,4
disgust,0
scared,68
happy,1
sad,19
surprised,2
neutral,6
angry,4
disgust,0
scared,63
happy,1
sad,19
surprised,1
neutral,13
angry,3
disgust,0
scared,64
happy,1
sad,21
surprised,1
neutral,9
angry,2
disgust,0
scared,59
happy,2
sad,25
surprised,0
neutral,11
angry,3
disgust,0
scared,60
happy,3
sad,24
surprised,0
neutral,11
angry,3
disgust,0
scared,62
happy,4
sad,20
surprised,1
neutral,11
angry,3
disgust,0
scared,57
happy,3
sad,28
surprised,0
neutral,9
angry,3
disgust,0
scared,53
happy,4
sad,28
surprised,0
neutral,12
angry,2
disgust,0
scared,62
happy,3
sad,24
surprised,1
neutral,8
angry,5
disgust,0
scared,55
happy,4
sad,25
surprised,1
neutral,11
angry,5
disgust,0
scared,64
happy,2
sad,20
surprised,1
neutral,8
angry,5
disgust,0
scared,64
happy,2
sad,20
surprised,1
neutral,8
angry,5
disgust,0
scared,56
happy,5
sad,25
surprised,1
neutral,10
angry,5
disgust,0
scared,58
happy,3
sad,24
surprised,1
neutral,11
angry,5
disgust,0
scared,58
happy,3
sad,24
surprised,1
neutral,10
angry,3
disgust,0
scared,48
happy,4
sad,31
surprised,1
neutral,13
angry,3
disgust,0
scared,66
happy,1
sad,21
surprised,0
neutral,9
angry,2
disgust,0
scared,68
happy,1
sad,21
surprised,0
neutral,7
angry,2
disgust,0
scared,67
happy,2
sad,19
surprised,1
neutral,11
angry,3
disgust,0
scared,64
happy,2
sad,22
surprised,1
neutral,9
angry,3
disgust,0
scared,64
happy,2
sad,22
surprised,1
neutral,9
angry,3
disgust,0
scared,68
happy,1
sad,20
surprised,0
neutral,8
angry,3
disgust,0
scared,56
happy,1
sad,26
surprised,0
neutral,13
angry,3
disgust,0
scared,64
happy,1
sad,19
surprised,1
neutral,11
angry,2
disgust,0
scared,63
happy,1
sad,22
surprised,1
neutral,11
angry,4
disgust,0
scared,58
happy,1
sad,27
surprised,1
neutral,9
angry,2
disgust,0
scared,70
happy,1
sad,20
surprised,0
neutral,7
angry,3
disgust,0
scared,64
happy,1
sad,25
surprised,0
neutral,7
angry,2
disgust,0
scared,66
happy,1
sad,21
surprised,0
neutral,10
angry,2
disgust,0
scared,66
happy,1
sad,21
surprised,0
neutral,10
angry,3
disgust,0
scared,63
happy,2
sad,20
surprised,1
neutral,12
angry,4
disgust,0
scared,60
happy,2
sad,23
surprised,1
neutral,10
angry,3
disgust,0
scared,66
happy,2
sad,19
surprised,1
neutral,10
angry,3
disgust,0
scared,61
happy,2
sad,25
surprised,0
neutral,9
angry,3
disgust,0
scared,66
happy,1
sad,22
surprised,1
neutral,7
angry,3
disgust,0
scared,59
happy,3
sad,25
surprised,1
neutral,10
angry,2
disgust,0
scared,61
happy,1
sad,27
surprised,0
neutral,8
angry,2
disgust,0
scared,55
happy,2
sad,30
surprised,0
neutral,10
angry,2
disgust,0
scared,57
happy,2
sad,26
surprised,0
neutral,13
angry,4
disgust,4
scared,9
happy,13
sad,27
surprised,16
neutral,28
angry,4
disgust,2
scared,7
happy,13
sad,27
surprised,15
neutral,30
angry,3
disgust,0
scared,47
happy,3
sad,32
surprised,1
neutral,14
angry,3
disgust,0
scared,52
happy,2
sad,33
surprised,0
neutral,11
angry,4
disgust,0
scared,62
happy,1
sad,23
surprised,0
neutral,9
angry,4
disgust,0
scared,62
happy,1
sad,23
surprised,0
neutral,9
angry,2
disgust,0
scared,62
happy,1
sad,21
surprised,1
neutral,13
angry,7
disgust,0
scared,44
happy,3
sad,28
surprised,1
neutral,18
angry,3
disgust,0
scared,56
happy,1
sad,28
surprised,0
neutral,12
angry,2
disgust,0
scared,66
happy,1
sad,23
surprised,0
neutral,8
angry,2
disgust,0
scared,72
happy,2
sad,16
surprised,0
neutral,8
angry,1
disgust,0
scared,79
happy,1
sad,13
surprised,1
neutral,5
angry,1
disgust,0
scared,76
happy,2
sad,15
surprised,1
neutral,5
angry,2
disgust,0
scared,75
happy,2
sad,12
surprised,1
neutral,8
angry,3
disgust,0
scared,69
happy,3
sad,14
surprised,1
neutral,11
angry,3
disgust,0
scared,69
happy,3
sad,14
surprised,1
neutral,11
angry,3
disgust,0
scared,65
happy,4
sad,16
surprised,1
neutral,11
angry,4
disgust,0
scared,54
happy,4
sad,26
surprised,1
neutral,11
angry,5
disgust,0
scared,52
happy,7
sad,28
surprised,0
neutral,7
angry,10
disgust,0
scared,18
happy,43
sad,19
surprised,0
neutral,10
angry,24
disgust,1
scared,26
happy,12
sad,26
surprised,0
neutral,11
angry,23
disgust,1
scared,17
happy,13
sad,30
surprised,0
neutral,16
angry,27
disgust,1
scared,16
happy,23
sad,14
surprised,0
neutral,19
angry,30
disgust,6
scared,12
happy,16
sad,15
surprised,0
neutral,21
angry,22
disgust,5
scared,11
happy,24
sad,17
surprised,0
neutral,22
angry,21
disgust,3
scared,8
happy,14
sad,22
surprised,0
neutral,32
angry,21
disgust,3
scared,8
happy,14
sad,22
surprised,0
neutral,32
angry,18
disgust,4
scared,5
happy,30
sad,14
surprised,0
neutral,29
angry,17
disgust,3
scared,7
happy,17
sad,11
surprised,0
neutral,45
angry,14
disgust,7
scared,4
happy,31
sad,13
surprised,0
neutral,31
angry,23
disgust,6
scared,5
happy,32
sad,12
surprised,0
neutral,23
angry,22
disgust,2
scared,8
happy,17
sad,15
surprised,0
neutral,36
angry,22
disgust,11
scared,5
happy,22
sad,23
surprised,0
neutral,16
angry,6
disgust,0
scared,5
happy,59
sad,20
surprised,0
neutral,8
angry,27
disgust,0
scared,22
happy,20
sad,12
surprised,1
neutral,18
angry,27
disgust,0
scared,22
happy,20
sad,12
surprised,1
neutral,18
angry,14
disgust,0
scared,9
happy,42
sad,22
surprised,1
neutral,12
angry,10
disgust,0
scared,14
happy,35
sad,22
surprised,4
neutral,16
angry,8
disgust,0
scared,18
happy,26
sad,19
surprised,5
neutral,25
angry,11
disgust,1
scared,17
happy,8
sad,18
surprised,0
neutral,45
angry,30
disgust,0
scared,10
happy,10
sad,21
surprised,1
neutral,28
angry,30
disgust,0
scared,10
happy,10
sad,21
surprised,1
neutral,28
angry,18
disgust,0
scared,19
happy,5
sad,39
surprised,2
neutral,16
angry,13
disgust,0
scared,25
happy,17
sad,19
surprised,6
neutral,20
angry,17
disgust,0
scared,27
happy,13
sad,31
surprised,1
neutral,11
angry,15
disgust,1
scared,12
happy,22
sad,30
surprised,0
neutral,19
angry,16
disgust,0
scared,5
happy,65
sad,2
surprised,3
neutral,7
angry,10
disgust,0
scared,31
happy,3
sad,43
surprised,0
neutral,12
angry,10
disgust,0
scared,31
happy,3
sad,43
surprised,0
neutral,12
angry,6
disgust,1
scared,26
happy,28
sad,28
surprised,1
neutral,11
angry,10
disgust,0
scared,29
happy,15
sad,31
surprised,1
neutral,15
angry,12
disgust,0
scared,14
happy,30
sad,20
surprised,1
neutral,23
angry,11
disgust,0
scared,20
happy,20
sad,29
surprised,0
neutral,20
angry,11
disgust,0
scared,20
happy,20
sad,29
surprised,0
neutral,20
angry,6
disgust,1
scared,50
happy,6
sad,21
surprised,0
neutral,16
angry,6
disgust,1
scared,50
happy,6
sad,21
surprised,0
neutral,16
angry,8
disgust,0
scared,46
happy,8
sad,20
surprised,1
neutral,18
angry,3
disgust,0
scared,59
happy,4
sad,23
surprised,0
neutral,11
angry,3
disgust,0
scared,38
happy,2
sad,31
surprised,0
neutral,27
angry,3
disgust,0
scared,38
happy,2
sad,31
surprised,0
neutral,27
angry,3
disgust,0
scared,36
happy,2
sad,35
surprised,0
neutral,24
angry,3
disgust,0
scared,39
happy,2
sad,39
surprised,0
neutral,17
angry,2
disgust,0
scared,39
happy,3
sad,35
surprised,0
neutral,20
angry,2
disgust,0
scared,40
happy,4
sad,34
surprised,0
neutral,20
angry,2
disgust,0
scared,40
happy,4
sad,34
surprised,0
neutral,20
angry,2
disgust,0
scared,43
happy,3
sad,36
surprised,0
neutral,16
angry,2
disgust,1
scared,49
happy,6
sad,32
surprised,0
neutral,10
angry,3
disgust,0
scared,61
happy,3
sad,26
surprised,1
neutral,6
angry,2
disgust,0
scared,44
happy,11
sad,30
surprised,1
neutral,13
angry,2
disgust,0
scared,49
happy,5
sad,36
surprised,0
neutral,8
angry,1
disgust,0
scared,44
happy,5
sad,39
surprised,0
neutral,10
angry,1
disgust,0
scared,44
happy,5
sad,39
surprised,0
neutral,10
angry,1
disgust,0
scared,40
happy,2
sad,49
surprised,0
neutral,8
angry,2
disgust,0
scared,35
happy,2
sad,51
surprised,0
neutral,9
angry,1
disgust,0
scared,43
happy,3
sad,45
surprised,0
neutral,7
angry,1
disgust,0
scared,40
happy,3
sad,45
surprised,0
neutral,10
angry,1
disgust,0
scared,35
happy,5
sad,45
surprised,1
neutral,13
angry,2
disgust,0
scared,35
happy,3
sad,50
surprised,0
neutral,9
angry,2
disgust,0
scared,35
happy,3
sad,50
surprised,0
neutral,9
angry,3
disgust,0
scared,52
happy,4
sad,32
surprised,1
neutral,8
angry,2
disgust,0
scared,38
happy,9
sad,41
surprised,1
neutral,9
angry,2
disgust,0
scared,28
happy,12
sad,45
surprised,1
neutral,11
angry,3
disgust,0
scared,37
happy,5
sad,45
surprised,1
neutral,10
angry,2
disgust,0
scared,30
happy,5
sad,52
surprised,1
neutral,10
angry,2
disgust,0
scared,31
happy,4
sad,54
surprised,0
neutral,8
angry,2
disgust,0
scared,31
happy,4
sad,54
surprised,0
neutral,8
angry,3
disgust,0
scared,40
happy,6
sad,42
surprised,0
neutral,9
angry,3
disgust,0
scared,31
happy,9
sad,45
surprised,0
neutral,12
angry,4
disgust,0
scared,34
happy,6
sad,47
surprised,0
neutral,8
angry,5
disgust,0
scared,28
happy,7
sad,52
surprised,0
neutral,8
angry,4
disgust,0
scared,26
happy,8
sad,54
surprised,0
neutral,8
angry,4
disgust,0
scared,23
happy,7
sad,62
surprised,0
neutral,4
angry,4
disgust,0
scared,23
happy,7
sad,62
surprised,0
neutral,4
angry,5
disgust,0
scared,32
happy,9
sad,46
surprised,0
neutral,8
angry,4
disgust,0
scared,24
happy,13
sad,51
surprised,0
neutral,7
angry,4
disgust,0
scared,28
happy,7
sad,56
surprised,0
neutral,5
angry,4
disgust,0
scared,32
happy,8
sad,50
surprised,0
neutral,6
angry,3
disgust,0
scared,23
happy,7
sad,60
surprised,0
neutral,6
angry,4
disgust,0
scared,29
happy,9
sad,51
surprised,0
neutral,7
angry,4
disgust,0
scared,29
happy,9
sad,51
surprised,0
neutral,7
angry,4
disgust,0
scared,26
happy,12
sad,50
surprised,0
neutral,6
angry,3
disgust,0
scared,24
happy,16
sad,49
surprised,0
neutral,7
angry,3
disgust,0
scared,27
happy,19
sad,42
surprised,0
neutral,9
angry,3
disgust,0
scared,25
happy,15
sad,48
surprised,0
neutral,8
angry,3
disgust,0
scared,24
happy,18
sad,45
surprised,0
neutral,9
angry,4
disgust,0
scared,31
happy,15
sad,43
surprised,0
neutral,7
angry,4
disgust,0
scared,31
happy,15
sad,43
surprised,0
neutral,7
angry,3
disgust,0
scared,27
happy,15
sad,46
surprised,1
neutral,8
angry,3
disgust,0
scared,30
happy,18
sad,42
surprised,0
neutral,6
angry,4
disgust,0
scared,35
happy,13
sad,43
surprised,0
neutral,5
angry,5
disgust,0
scared,26
happy,10
sad,52
surprised,0
neutral,6
angry,4
disgust,0
scared,30
happy,18
sad,40
surprised,0
neutral,6
angry,4
disgust,0
scared,33
happy,16
sad,38
surprised,1
neutral,7
angry,4
disgust,0
scared,33
happy,16
sad,38
surprised,1
neutral,7
angry,4
disgust,0
scared,29
happy,11
sad,46
surprised,0
neutral,10
angry,3
disgust,0
scared,34
happy,11
sad,45
surprised,0
neutral,5
angry,4
disgust,0
scared,35
happy,17
sad,36
surprised,0
neutral,8
angry,4
disgust,0
scared,35
happy,11
sad,39
surprised,0
neutral,9
angry,3
disgust,0
scared,30
happy,10
sad,49
surprised,0
neutral,8
angry,3
disgust,0
scared,32
happy,18
sad,38
surprised,0
neutral,8
angry,3
disgust,1
scared,36
happy,7
sad,43
surprised,0
neutral,10
angry,4
disgust,0
scared,31
happy,6
sad,49
surprised,0
neutral,8
angry,3
disgust,0
scared,27
happy,8
sad,53
surprised,0
neutral,9
angry,5
disgust,0
scared,25
happy,12
sad,46
surprised,0
neutral,10
angry,4
disgust,0
scared,30
happy,15
sad,43
surprised,0
neutral,8
angry,4
disgust,0
scared,35
happy,16
sad,35
surprised,0
neutral,10
angry,4
disgust,0
scared,37
happy,14
sad,36
surprised,0
neutral,8
angry,4
disgust,0
scared,37
happy,14
sad,36
surprised,0
neutral,8
angry,4
disgust,0
scared,36
happy,11
sad,40
surprised,0
neutral,9
angry,5
disgust,1
scared,36
happy,15
sad,36
surprised,0
neutral,7
angry,4
disgust,0
scared,26
happy,20
sad,37
surprised,0
neutral,12
angry,5
disgust,0
scared,25
happy,15
sad,40
surprised,0
neutral,14
angry,5
disgust,0
scared,26
happy,10
sad,49
surprised,0
neutral,9
angry,5
disgust,0
scared,26
happy,10
sad,49
surprised,0
neutral,9
angry,5
disgust,0
scared,31
happy,12
sad,43
surprised,0
neutral,8
angry,3
disgust,0
scared,36
happy,16
sad,35
surprised,0
neutral,9
angry,5
disgust,1
scared,40
happy,15
sad,29
surprised,0
neutral,8
angry,3
disgust,0
scared,47
happy,16
sad,27
surprised,1
neutral,6
angry,3
disgust,0
scared,35
happy,15
sad,36
surprised,0
neutral,10
angry,4
disgust,0
scared,38
happy,17
sad,30
surprised,1
neutral,9
angry,4
disgust,0
scared,38
happy,17
sad,30
surprised,1
neutral,9
angry,4
disgust,0
scared,45
happy,21
sad,22
surprised,0
neutral,7
angry,5
disgust,1
scared,37
happy,18
sad,32
surprised,1
neutral,7
angry,4
disgust,1
scared,39
happy,22
sad,25
surprised,0
neutral,9
angry,5
disgust,1
scared,51
happy,14
sad,22
surprised,1
neutral,8
angry,4
disgust,0
scared,40
happy,12
sad,38
surprised,0
neutral,6
angry,4
disgust,0
scared,40
happy,12
sad,38
surprised,0
neutral,6
angry,5
disgust,0
scared,44
happy,16
sad,26
surprised,1
neutral,8
angry,4
disgust,0
scared,39
happy,15
sad,32
surprised,0
neutral,10
angry,4
disgust,0
scared,49
happy,12
sad,26
surprised,1
neutral,8
angry,4
disgust,0
scared,53
happy,13
sad,22
surprised,0
neutral,8
angry,3
disgust,1
scared,33
happy,12
sad,39
surprised,0
neutral,11
angry,3
disgust,1
scared,33
happy,12
sad,39
surprised,0
neutral,11
angry,4
disgust,0
scared,29
happy,18
sad,36
surprised,0
neutral,12
angry,2
disgust,0
scared,31
happy,19
sad,37
surprised,0
neutral,10
angry,3
disgust,1
scared,28
happy,20
sad,36
surprised,0
neutral,12
angry,4
disgust,0
scared,30
happy,16
sad,38
surprised,0
neutral,12
angry,4
disgust,0
scared,30
happy,16
sad,38
surprised,0
neutral,12
angry,3
disgust,0
scared,31
happy,16
sad,37
surprised,0
neutral,12
angry,3
disgust,0
scared,27
happy,10
sad,43
surprised,0
neutral,16
angry,5
disgust,0
scared,20
happy,15
sad,49
surprised,0
neutral,12
angry,6
disgust,0
scared,27
happy,10
sad,50
surprised,0
neutral,5
angry,3
disgust,0
scared,24
happy,14
sad,47
surprised,0
neutral,11
angry,5
disgust,0
scared,26
happy,12
sad,46
surprised,0
neutral,10
angry,4
disgust,0
scared,24
happy,9
sad,57
surprised,0
neutral,5
angry,5
disgust,2
scared,18
happy,15
sad,13
surprised,10
neutral,38
angry,5
disgust,2
scared,16
happy,17
sad,11
surprised,14
neutral,34
angry,5
disgust,2
scared,16
happy,17
sad,11
surprised,14
neutral,34
angry,4
disgust,1
scared,11
happy,14
sad,18
surprised,15
neutral,37
angry,9
disgust,0
scared,11
happy,44
sad,30
surprised,0
neutral,4
angry,24
disgust,0
scared,24
happy,24
sad,23
surprised,1
neutral,3
angry,48
disgust,0
scared,17
happy,8
sad,22
surprised,0
neutral,5
angry,14
disgust,0
scared,1
happy,73
sad,5
surprised,0
neutral,7
angry,14
disgust,0
scared,1
happy,73
sad,5
surprised,0
neutral,7
angry,1
disgust,0
scared,1
happy,90
sad,3
surprised,0
neutral,5
angry,0
disgust,0
scared,0
happy,95
sad,2
surprised,0
neutral,2
angry,1
disgust,0
scared,1
happy,92
sad,2
surprised,0
neutral,4
angry,1
disgust,0
scared,0
happy,95
sad,1
surprised,0
neutral,3
angry,1
disgust,0
scared,1
happy,96
sad,1
surprised,0
neutral,2
angry,0
disgust,0
scared,0
happy,99
sad,0
surprised,0
neutral,1
angry,0
disgust,0
scared,0
happy,99
sad,0
surprised,0
neutral,1
angry,1
disgust,0
scared,0
happy,89
sad,1
surprised,0
neutral,9
angry,1
disgust,0
scared,0
happy,89
sad,1
surprised,0
neutral,9
angry,2
disgust,0
scared,1
happy,78
sad,1
surprised,0
neutral,17
angry,7
disgust,0
scared,2
happy,62
sad,6
surprised,0
neutral,23
angry,6
disgust,0
scared,2
happy,56
sad,5
surprised,0
neutral,30
angry,1
disgust,2
scared,13
happy,10
sad,10
surprised,42
neutral,24
angry,8
disgust,3
scared,12
happy,15
sad,11
surprised,11
neutral,40
angry,10
disgust,3
scared,10
happy,14
sad,15
surprised,8
neutral,41
angry,9
disgust,1
scared,12
happy,24
sad,19
surprised,7
neutral,27
angry,9
disgust,1
scared,11
happy,18
sad,13
surprised,17
neutral,32
angry,10
disgust,2
scared,8
happy,24
sad,15
surprised,8
neutral,33
angry,2
disgust,0
scared,18
happy,14
sad,15
surprised,22
neutral,27
angry,2
disgust,0
scared,18
happy,14
sad,15
surprised,22
neutral,27
angry,1
disgust,0
scared,17
happy,9
sad,13
surprised,37
neutral,22
angry,1
disgust,1
scared,14
happy,14
sad,13
surprised,27
neutral,30
angry,2
disgust,0
scared,17
happy,14
sad,12
surprised,29
neutral,26
angry,1
disgust,0
scared,0
happy,97
sad,0
surprised,0
neutral,2
angry,1
disgust,0
scared,0
happy,97
sad,0
surprised,0
neutral,2
angry,1
disgust,1
scared,13
happy,7
sad,12
surprised,40
neutral,26
angry,1
disgust,0
scared,0
happy,96
sad,0
surprised,0
neutral,2
angry,1
disgust,0
scared,0
happy,95
sad,0
surprised,0
neutral,4
angry,1
disgust,0
scared,0
happy,96
sad,0
surprised,0
neutral,2
angry,0
disgust,0
scared,0
happy,97
sad,0
surprised,0
neutral,2
angry,0
disgust,0
scared,0
happy,94
sad,0
surprised,0
neutral,5
angry,0
disgust,0
scared,0
happy,98
sad,0
surprised,0
neutral,2
angry,1
disgust,0
scared,0
happy,96
sad,0
surprised,0
neutral,3
angry,0
disgust,0
scared,0
happy,98
sad,0
surprised,0
neutral,2
angry,0
disgust,0
scared,0
happy,99
sad,0
surprised,0
neutral,1
angry,0
disgust,0
scared,0
happy,99
sad,0
surprised,0
neutral,1
angry,0
disgust,0
scared,0
happy,99
sad,0
surprised,0
neutral,1
angry,1
disgust,0
scared,0
happy,91
sad,2
surprised,0
neutral,6
angry,8
disgust,0
scared,3
happy,7
sad,17
surprised,0
neutral,64
angry,8
disgust,0
scared,3
happy,7
sad,17
surprised,0
neutral,64
angry,3
disgust,0
scared,2
happy,79
sad,3
surprised,0
neutral,13
angry,3
disgust,0
scared,2
happy,79
sad,3
surprised,0
neutral,13
angry,2
disgust,0
scared,5
happy,80
sad,7
surprised,0
neutral,5
angry,2
disgust,0
scared,5
happy,80
sad,7
surprised,0
neutral,5
angry,2
disgust,0
scared,10
happy,49
sad,23
surprised,0
neutral,16
angry,2
disgust,0
scared,9
happy,52
sad,19
surprised,0
neutral,18
angry,4
disgust,0
scared,15
happy,17
sad,33
surprised,0
neutral,31
angry,4
disgust,0
scared,15
happy,17
sad,33
surprised,0
neutral,31
angry,2
disgust,0
scared,13
happy,20
sad,47
surprised,0
neutral,18
angry,7
disgust,0
scared,20
happy,16
sad,31
surprised,0
neutral,26
angry,11
disgust,0
scared,19
happy,6
sad,32
surprised,0
neutral,32
angry,12
disgust,1
scared,15
happy,6
sad,21
surprised,0
neutral,44
angry,11
disgust,0
scared,5
happy,22
sad,14
surprised,0
neutral,47
angry,9
disgust,0
scared,2
happy,9
sad,10
surprised,0
neutral,70
angry,9
disgust,0
scared,2
happy,9
sad,10
surprised,0
neutral,70
angry,15
disgust,1
scared,11
happy,12
sad,23
surprised,1
neutral,38
angry,24
disgust,1
scared,11
happy,35
sad,8
surprised,4
neutral,17
angry,11
disgust,2
scared,15
happy,17
sad,6
surprised,6
neutral,44
angry,16
disgust,0
scared,7
happy,9
sad,28
surprised,0
neutral,40
angry,16
disgust,0
scared,7
happy,9
sad,28
surprised,0
neutral,40
angry,20
disgust,2
scared,18
happy,4
sad,32
surprised,1
neutral,24
angry,24
disgust,1
scared,22
happy,13
sad,22
surprised,1
neutral,17
angry,17
disgust,0
scared,18
happy,6
sad,30
surprised,1
neutral,28
angry,9
disgust,0
scared,9
happy,29
sad,21
surprised,1
neutral,30
angry,7
disgust,0
scared,9
happy,23
sad,29
surprised,1
neutral,31
angry,12
disgust,0
scared,7
happy,3
sad,34
surprised,0
neutral,43
angry,23
disgust,1
scared,10
happy,4
sad,27
surprised,1
neutral,34
angry,17
disgust,2
scared,16
happy,4
sad,38
surprised,1
neutral,23
angry,17
disgust,2
scared,16
happy,4
sad,38
surprised,1
neutral,23
angry,11
disgust,0
scared,11
happy,8
sad,25
surprised,1
neutral,44
angry,7
disgust,0
scared,8
happy,11
sad,28
surprised,1
neutral,44
angry,4
disgust,0
scared,9
happy,8
sad,17
surprised,0
neutral,61
angry,11
disgust,0
scared,7
happy,4
sad,22
surprised,0
neutral,54
angry,21
disgust,1
scared,20
happy,3
sad,28
surprised,1
neutral,26
angry,24
disgust,0
scared,12
happy,2
sad,16
surprised,0
neutral,45
angry,24
disgust,0
scared,12
happy,2
sad,16
surprised,0
neutral,45
angry,14
disgust,0
scared,20
happy,12
sad,33
surprised,2
neutral,19
angry,14
disgust,0
scared,20
happy,12
sad,33
surprised,2
neutral,19
angry,8
disgust,1
scared,28
happy,3
sad,45
surprised,1
neutral,14
angry,11
disgust,0
scared,22
happy,2
sad,34
surprised,1
neutral,30
angry,9
disgust,0
scared,21
happy,5
sad,37
surprised,1
neutral,27
angry,17
disgust,1
scared,10
happy,9
sad,24
surprised,0
neutral,39
angry,16
disgust,1
scared,15
happy,1
sad,34
surprised,0
neutral,33
angry,11
disgust,1
scared,18
happy,0
sad,33
surprised,0
neutral,37
angry,12
disgust,0
scared,14
happy,1
sad,20
surprised,0
neutral,53
angry,12
disgust,0
scared,14
happy,1
sad,20
surprised,0
neutral,53
angry,12
disgust,0
scared,13
happy,2
sad,26
surprised,1
neutral,46
angry,25
disgust,1
scared,14
happy,2
sad,22
surprised,0
neutral,35
angry,19
disgust,1
scared,18
happy,2
sad,33
surprised,0
neutral,27
angry,16
disgust,0
scared,6
happy,5
sad,15
surprised,0
neutral,57
angry,5
disgust,9
scared,12
happy,9
sad,13
surprised,46
neutral,7
angry,6
disgust,9
scared,14
happy,14
sad,17
surprised,32
neutral,9
angry,10
disgust,6
scared,17
happy,15
sad,20
surprised,19
neutral,12
angry,2
disgust,21
scared,8
happy,13
sad,9
surprised,22
neutral,24
angry,5
disgust,11
scared,15
happy,13
sad,17
surprised,27
neutral,13
angry,24
disgust,0
scared,5
happy,4
sad,10
surprised,0
neutral,56
angry,3
disgust,13
scared,15
happy,15
sad,20
surprised,25
neutral,11
angry,23
disgust,0
scared,6
happy,7
sad,10
surprised,0
neutral,53
angry,16
disgust,0
scared,5
happy,11
sad,7
surprised,0
neutral,61
angry,14
disgust,0
scared,4
happy,8
sad,6
surprised,1
neutral,67
angry,14
disgust,1
scared,11
happy,2
sad,16
surprised,1
neutral,55
angry,9
disgust,0
scared,11
happy,12
sad,4
surprised,32
neutral,32
angry,13
disgust,0
scared,13
